gatewayAddress,delegateAddress,delegateStake
TJbHG2vQJV2gif_feeMZJuB9GiZjkHzjzI5G0STm6eM,2-Nro-exqE99NRkP3WYTjlXWLxc57fgV1TGJkmsxx2w,1303750000
iap-k1HQNUtkDLDooVsjQVg0FAWtudGtVsTSFQ3nn1o,20q9ghxBjFrYI4aIG-oJ4b3m9wDV7RWaMqfEn-aD2X0,435000000
0P2hRzXv4WFYtdURAQsB07XI0OKBf4tjGGia6ZxnWxU,2154sfKHpedbTkPmeN-Oz1U-24DV_diNpE2TOOGh-j4,738750000
h0YJJPy3KbX368O7OzF5VgNPUYK6gYnjBDVSjxXa56U,21fZtLwIkpsS6uvjRgWS0Q56YElWwQRQC8c1yFSqf7A,1956250000
Z8tMmVTR-BGk9jqRwXb1_i_1Fb4xEBs4w8-1KdkAoHQ,23dGriqP5nzkOUZFykYd0NJjNiYmoQhPW3MqgZtPeMU,1521250000
OUddDM0DVbGuKgdqb0K1gX42aOw9-tXpqbCwU2HsYnI,29sOshE53Cxe9Kros7h4VaSZ3u5WYefvTbJOGthbor4,738750000
PknxsIAYcyz0bgHOpH8W_IjDFBUYBLjvXezEDN_mze0,2AlezWbmFyENtB8ujM7ABlnN0ZURk_exEoZjR4v_Nqs,2346250000
9Rya3y64lWHKAbbFYmSo_Fw1rKlagKOWoZ2Qvl1ENrQ,2CdYV2TdTafjOJUU6KhQ3U0GeICf72YL03R0oMGG_90,4562500000
QsgPJSZ3rP3S-HDHAVe-tVrgNT-l7TnkQz5cPUa2lIc,2HSw0NI79FrY9yyEQMfUOC9P_OjnO4CI9991PaVOlcg,435000000
BZL3xWpQPPupW4JIKjjxfiImkRAUl7HEqPTb3DMZjxE,2IRAYwCc1paSW3-SHD1tne98bFacEniprnQARhMDkV8,870000000
OtXnAB1qGr4RLi5uL1Wif5rR9WnQk3upElaVoKpQBOk,2J0dqD4MvOStHY6aEGEYJ7Z-CggOO9g1mCLeQk1GgeA,435000000
cfUh77oKJiuJW6wbAb999RkN-lMKvX00PL0KKbvIz-0,2NbYHgsuI8uQcuErDsgoRUCyj9X2wZ6PBN6WTz9xyu0,1303750000
BZL3xWpQPPupW4JIKjjxfiImkRAUl7HEqPTb3DMZjxE,2OJT3ya_2ZD3OEftCxyVwizmjhYnCSEWFsCLFRdIeQM,2390000000
Lr6btGJwfdwJ1DaJySvDiBALwyMQjsZx4QGtnAWkbHU,2Ov4XaaOR1JuHyZi5DiJ_nTOsQAENYMJDeBlkqa_XZA,870000000
Oa29VaMnzz140hg5Bsd8R-xNJ_yunPoULph_C1fiy3M,2RZuIlzsfMWFj0XyDn8wMlq_YBx_RmyPU2XteztXd_M,2607500000
Y-OXP98Mk-BEtHpa8aryg1gVGaqNtfnwJltGCfoZKTw,2RyfZsJNC2whVKSWhHTuN9xFOmy0M2wacQ_rWE_MpE8,2825000000
SN9coZxaKOojVAhbL6179zhjJ16-mQGwV6PAixoyvds,2STmGf_Y_kXUGKc9WYAy9UHlJPvrWMGETWJXMXlcl2Y,435000000
BYtx5jr81Kwx07LPf4QyrOlIYB3RTY8doE97ca8uHkw,2Su_PBw6IyZ0lmB-349dxnkQ1lbdC5D6U-XnHsNueYw,3476250000
KyB0PQqmdSwkuwaS5NTkQGUCT3DkYvgip_dKtSbIOSs,2TSmudsrOeYnbH_nEzE6gV8skbPVmBSxPtpZNTm0ycU,1956250000
TMXcVEAvy2e7cFwd0qMMsoYSjVPYRuNFHj-yxC45Hy0,2UBi5l_fih0JO_iDheYY87oxddXF5lxobmP7yuZ5zkA,870000000
UGm_n-H39zJDxTNnwSfTMCsufjI0nhDAHFEX_JRng74,2UG72UO47OkQIRD62D4P2he4vQqkAKyUzubBm57tVbU,1303750000
uQmgimaXSc3qeTYRjiqj9Nx_GHfxdTWMprQuyRawnek,2UrPw_CgdN6OlW_XmC1zLZ09Jz3Soc7UN2wuEj59zZU,891250000
-d9S3ErrYlW1W7ZY_3BBqgbItgSkECClAYq6RSzf5Pc,2VeI8bTjgb4IcxCIdbVSRvjS8Yg5RT8d3_UcQQaI97U,3128750000
W9VN2kEtytpzj0wn-izbIbUE2yx9bvQ8_ftMyBOx_I0,2ZUNrx_WtBG4VE1Ok2HoAfE3CcVy7IXWpu7AeX2bohg,1695000000
